latitude,longitude,Dataset,title,thumbnail_url,artist_name,year,art_type,location_description,geom,address
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025qb4g_1767471_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025qb92_1767474_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.035591,-118.170193,Nancy Tovar East LA Mural Collection,La Expedicion Punetiva,images/Tovar/21198-zz0025m5bt_1701586_thumbnail.jpg,Unknown,circa 1970s,,East Los Angeles,"34.035591,-118.170193","Long Beach Freeway, Belvedere, East Los Angeles, Los Angeles County, California, 90063-3422, United States"
34.073911,-118.21434,Nancy Tovar East LA Mural Collection,La Familia Hernandez,images/Tovar/21198-zz0025m2cw_1702819_thumbnail.jpg,"Hernandez, Frank",1972,,Mural located at 2701 North Broadway (and Workman St.) in Lincoln Heights,"34.073910999999995,-118.21433999999999","2410, Workman Street, Lincoln Heights, Los Angeles, Los Angeles County, California, 90031, United States"
34.073911,-118.21434,Nancy Tovar East LA Mural Collection,La Familia Hernandez,images/Tovar/21198-zz0025m2dd_1702822_thumbnail.jpg,"Hernandez, Frank",1972,,Mural located at 2701 North Broadway (and Workman St.) in Lincoln Heights,"34.073910999999995,-118.21433999999999","2410, Workman Street, Lincoln Heights, Los Angeles, Los Angeles County, California, 90031, United States"
34.0508,-118.198064,Nancy Tovar East LA Mural Collection,Medusa's Head,images/Tovar/21198-zz0025nhnr_1767522_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1971,,Mural located at 2765 Wabash on the entrance to the recreation center. Part of the City Wide Murals Project.,"34.0508,-118.19806399999999","2795, Wabash Avenue, Boyle Heights, Los Angeles, Los Angeles County, California, 90033, United States"
34.0508,-118.198064,Nancy Tovar East LA Mural Collection,Medusa's Head,images/Tovar/21198-zz0025nhqs_1767525_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1971,,Mural located at 2765 Wabash on the entrance to the recreation center. Part of the City Wide Murals Project.,"34.0508,-118.19806399999999","2795, Wabash Avenue, Boyle Heights, Los Angeles, Los Angeles County, California, 90033, United States"
34.0508,-118.198064,Nancy Tovar East LA Mural Collection,Medusa's Head,images/Tovar/21198-zz0025nhst_1767531_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1971,,Mural located at 2765 Wabash on the entrance to the recreation center. Part of the City Wide Murals Project.,"34.0508,-118.19806399999999","2795, Wabash Avenue, Boyle Heights, Los Angeles, Los Angeles County, California, 90033, United States"
34.0508,-118.198064,Nancy Tovar East LA Mural Collection,Medusa's Head,images/Tovar/21198-zz0025nhvv_1767537_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1971,,Mural located at 2765 Wabash on the entrance to the recreation center. Part of the City Wide Murals Project.,"34.0508,-118.19806399999999","2795, Wabash Avenue, Boyle Heights, Los Angeles, Los Angeles County, California, 90033, United States"
34.0508,-118.198064,Nancy Tovar East LA Mural Collection,Medusa's Head,images/Tovar/21198-zz0025nj3z_1767543_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1971,,Mural located at 2765 Wabash on the entrance to the recreation center. Part of the City Wide Murals Project.,"34.0508,-118.19806399999999","2795, Wabash Avenue, Boyle Heights, Los Angeles, Los Angeles County, California, 90033, United States"
34.039901,-118.21775,Nancy Tovar East LA Mural Collection,Mi Abuelita,images/Tovar/21198-zz0025m248_1702804_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1970,,Mural located at Hollenback Park's three-sided band shell.,"34.039901,-118.21775","Stage, South Saint Louis Street, Brooklyn Heights, Boyle Heights, Los Angeles, Los Angeles County, California, 90023, United States"
34.039901,-118.21775,Nancy Tovar East LA Mural Collection,Mi Abuelita,images/Tovar/21198-zz0025m269_1702807_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1970,,Mural located at Hollenback Park's three-sided band shell.,"34.039901,-118.21775","Stage, South Saint Louis Street, Brooklyn Heights, Boyle Heights, Los Angeles, Los Angeles County, California, 90023, United States"
34.039901,-118.21775,Nancy Tovar East LA Mural Collection,Mi Abuelita,images/Tovar/21198-zz0025m27t_1702810_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1970,,Mural located at Hollenback Park's three-sided band shell.,"34.039901,-118.21775","Stage, South Saint Louis Street, Brooklyn Heights, Boyle Heights, Los Angeles, Los Angeles County, California, 90023, United States"
34.039901,-118.21775,Nancy Tovar East LA Mural Collection,Mi Abuelita,images/Tovar/21198-zz0025m28b_1702813_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1970,,Mural located at Hollenback Park's three-sided band shell.,"34.039901,-118.21775","Stage, South Saint Louis Street, Brooklyn Heights, Boyle Heights, Los Angeles, Los Angeles County, California, 90023, United States"
34.039901,-118.21775,Nancy Tovar East LA Mural Collection,Mi Abuelita,images/Tovar/21198-zz0025m2bc_1702816_thumbnail.jpg,"Baca, Judith Francisca (Mexican-American installation  and muralist, born 1946)",1970,,Mural located at Hollenback Park's three-sided band shell.,"34.039901,-118.21775","Stage, South Saint Louis Street, Brooklyn Heights, Boyle Heights, Los Angeles, Los Angeles County, California, 90023, United States"
